Software Version            : FRANz 1.2.3
TV5274         0.0554 %
TV5280         0.1175 %
TV5303         0.0839 %
TV5304         0.0572 %
TV6609         0.3538 %
TV6614         0.0504 %

TOTAL: 65

*** Locus 4 ***

51C0059        0.2982 %
51C0063        0.3473 %
TV0190         0.5489 %
TV0196         0.4333 %
TV0459         0.1258 %
TV0899         0.1628 %
TV0971         0.3362 %
TV0983         0.3429 %
TV1196         0.2509 %
TV1321         0.4802 %
TV1345         0.5189 %
TV2078         0.0836 %
TV2290         0.0761 %
TV3056         0.3403 %
TV3201         0.1379 %
TV4251         0.0828 %
TV4255         0.3329 %
TV4267         0.2282 %
TV4282         0.1724 %
TV4290         0.0607 %
TV4319         0.1218 %
TV4553         0.3229 %
TV4554         0.3319 %
TV4556         0.4407 %
TV4558         0.1566 %
TV4757         0.3859 %
TV4758         0.4631 %
TV4796         0.1722 %
TV4813         0.2145 %
TV4817         0.1408 %
TV4835         0.2564 %
TV5019         0.1971 %
TV5024         0.2007 %
TV5113         0.2441 %
TV5119         0.0839 %
TV5201         0.2539 %
TV5216         0.1322 %
TV5217         0.3453 %
TV5227         0.0683 %
TV5228         0.4571 %
TV5244         0.1137 %
TV5308         0.1703 %
TV6308         0.0709 %
TV6609         0.1054 %
TV6610         0.1805 %

TOTAL: 45

*** Locus 5 ***

51C0065        0.1971 %
HS0167         0.1273 %
MB0003         0.2361 %
MB0106         0.1511 %
MB0112         0.2829 %
MB0115         0.2813 %
MR0057         0.0786 %
TV0241         0.1396 %
TV0245         0.7080 %
TV0299         0.0514 %
TV0301         0.0544 %
TV1263         0.0786 %
TV2033         0.1147 %
TV2501         0.0914 %
TV3010         0.0605 %
TV3011         0.1595 %
TV3031         0.0822 %
TV3041         0.0813 %
TV3202         0.2958 %
TV3209         0.1464 %
TV3218         0.0848 %
TV3231         0.0888 %
TV4004         0.0506 %
TV4287         0.1059 %
TV4291         0.0544 %
TV4299         0.4207 %
TV4312         0.4810 %
TV4506         0.0586 %
TV4517         0.4451 %
TV4545         0.5229 %
TV4547         0.4210 %
TV4789         0.5703 %
TV5002         0.0735 %
TV5084         0.1944 %
TV5124         0.5128 %
TV5177         0.1726 %
TV5241         0.4416 %
TV5257         0.0647 %
TV5259         0.1015 %
TV5280         0.0764 %
TV6301         0.1251 %
TV6303         0.0683 %
TVS0005        0.0771 %
TVS0213        0.0643 %

TOTAL: 44

*** Locus 6 ***

TV0006         0.7523 %
TV0019         0.2623 %
TV0194         0.2689 %
TV0196         0.1120 %
TV0234         0.1153 %
TV0244         0.2515 %
TV0245         0.6996 %
TV0255         0.0522 %
TV0952         0.5677 %
TV2004         0.2152 %
TV2005         0.3070 %
TV2527         0.1840 %
TV4262         0.1105 %
TV4315         0.0506 %
TV4318         0.0565 %
TV4536         0.2385 %
TV4553         0.3229 %
TV4554         0.3316 %
TV4562         0.1216 %
TV4764         0.8962 %
TV4774         0.5889 %
TV4796         0.3425 %
TV5028         0.3407 %
TV5029         0.2943 %
TV5032         0.1279 %
TV5188         0.0751 %
TV5235         0.6885 %
TV5249         0.3388 %
TV5251         0.1356 %
TV5257         0.3054 %
TV5304         0.2331 %
TV5311         0.1856 %
TV6310         0.4825 %
TV6316         0.5175 %
TV6612         0.5266 %
TV6729         0.0589 %

TOTAL: 36

*** Locus 7 ***

MB0020         0.2158 %
MB0024         0.5120 %
MR0033         0.0523 %
TV0007         0.3870 %
TV0008         0.1204 %
TV0240         0.2957 %
TV3215         0.0770 %
TV3216         0.0628 %
TV4516         0.1555 %
TV4517         0.0804 %
TV4518         0.2515 %
TV5172         0.2063 %
TV5175         0.1167 %
TV5251         0.0564 %
TV5257         0.0832 %
TV5262         0.0799 %
TV5305         0.3628 %
TV5306         0.3211 %
TV6601         0.9441 %

TOTAL: 19

*** Locus 8 ***

51C0054        0.4708 %
51C0060        0.2246 %
51C0104        0.0558 %
51C0116        0.2369 %
MB0102         0.4624 %
MB0106         0.3453 %
TV0003         0.9041 %
TV0004         0.0626 %
TV0019         0.0837 %
TV0208         0.6884 %
TV0327         0.0887 %
TV0886         0.0600 %
TV0959         0.1656 %
TV1171         0.0513 %
TV1296         0.0568 %
TV1341         0.0628 %
TV2299         0.4172 %
TV3010         0.2395 %
TV3017         0.1408 %
TV3037         0.3771 %
TV3040A        0.3516 %
TV3244         0.1014 %
TV4267         0.1143 %
TV4284         0.4718 %
TV4316         0.9402 %
TV4524         0.9125 %
TV4533         0.0625 %
TV4774         0.0731 %
TV5023         0.0509 %
TV5249         0.3561 %
TV5251         0.1993 %
TV5274         0.0554 %
TV5280         0.1175 %
TV6905         0.0606 %
TVS0204        0.3423 %
TVS0205        0.3227 %

TOTAL: 36

*** Locus 9 ***

HS0167         0.0505 %
MB0004         0.7399 %
MB0112         0.0596 %
MB0116         0.3803 %
MB0453         0.1652 %
TV0187         0.4358 %
TV0216         0.5694 %
TV0228         0.3964 %
TV0275         0.1367 %
TV0399         0.5279 %
TV0930         0.3175 %
TV0980         0.1293 %
TV1092         0.1491 %
TV1227         0.1471 %
TV1283         0.1434 %
TV1408         0.4713 %
TV2013         0.0785 %
TV2026         0.0841 %
TV2053         0.0657 %
TV2055         0.0828 %
TV2285         0.1067 %
TV2810         0.0707 %
TV3011         0.0526 %
TV3212         0.2728 %
TV3226         0.1689 %
TV3231         0.0641 %
TV4261         0.0685 %
TV4265         0.0510 %
TV4278         0.6396 %
TV4284         0.3096 %
TV4287         0.3322 %
TV4293         0.2679 %
TV4295         1.0000 %
TV4302         0.1058 %
TV4502         0.1018 %
TV4506         0.0586 %
TV4533         0.0780 %
TV4546         0.0645 %
TV4567         0.2052 %
TV4757         0.1808 %
TV4760         0.1600 %
TV4769         0.6249 %
TV4774         0.1505 %
TV4797         0.0975 %
TV4802         0.1889 %
TV5117         0.0908 %
TV5128         0.1157 %
TV5207         0.3096 %
TV5217         0.1224 %
TV5220         0.2187 %
TV5225         0.2323 %
TV5236         0.1267 %
TV5248         0.1713 %
TV5251         0.4359 %
TV5255         0.5397 %
TV5311         0.0668 %
TV6415         0.0539 %
TV6608         0.1721 %
TV6609         0.1195 %
TVS0020        0.1026 %
TVS0050        0.1143 %

TOTAL: 61

*** Locus 10 ***

HS0005         0.1014 %
MB0101         0.3999 %
MB0120         0.4356 %
MB0121         0.4393 %
MR0022         0.0994 %
TV0204         0.3311 %
TV0228         0.0936 %
TV0239         0.6517 %
TV0279         0.0830 %
TV0293         0.0957 %
TV0341         0.1180 %
TV0343         0.0743 %
TV0691         0.2724 %
TV0946         0.2750 %
TV1263         0.1260 %
TV1333         0.2444 %
TV1419         0.1616 %
TV2265         0.9194 %
TV2266         1.0000 %
TV3222         0.3279 %
TV3223         0.3353 %
TV4251         0.0828 %
TV4252         0.1391 %
TV4272         0.1357 %
TV4292         0.2216 %
TV4567         0.1136 %
TV4789         0.1739 %
TV4791         0.3491 %
TV4823         0.7865 %
TV5117         0.2242 %
TV5119         0.2122 %
TV5120         0.1977 %
TV5154         0.2972 %
TV5227         0.1005 %
TV5246         0.3289 %
TV5304         0.0572 %
TV5310         0.3680 %
TV6107         0.1623 %
TVS0020        0.4724 %
TVS0050        0.4970 %

TOTAL: 40

