Software Version            : FRANz 1.2.3
TV0983         0.2803 %
TV1196         0.1692 %
TV1321         0.4853 %
TV1345         0.5158 %
TV2290         0.0509 %
TV3056         0.2043 %
TV3201         0.0939 %
TV4255         0.3056 %
TV4267         0.1213 %
TV4282         0.1223 %
TV4319         0.0678 %
TV4553         0.2432 %
TV4554         0.2438 %
TV4556         0.3466 %
TV4558         0.1437 %
TV4757         0.3529 %
TV4758         0.3995 %
TV4796         0.1042 %
TV4813         0.1644 %
TV4817         0.1084 %
TV4835         0.1654 %
TV5019         0.1404 %
TV5024         0.1354 %
TV5113         0.1842 %
TV5119         0.0524 %
TV5201         0.1952 %
TV5216         0.0818 %
TV5217         0.3157 %
TV5228         0.3805 %
TV5244         0.0649 %
TV5308         0.1104 %
TV6609         0.0938 %
TV6610         0.1617 %

TOTAL: 40

*** Locus 5 ***

51C0065        0.1283 %
HS0167         0.0823 %
MB0003         0.1608 %
MB0106         0.1023 %
MB0112         0.2072 %
MB0115         0.1966 %
TV0242         0.1312 %
TV0245         0.6292 %
TV1263         0.0514 %
TV2033         0.0634 %
TV2501         0.0565 %
TV3011         0.1037 %
TV3031         0.0538 %
TV3202         0.1972 %
TV3209         0.1075 %
TV3218         0.0531 %
TV3231         0.0587 %
TV4287         0.1029 %
TV4291         0.0529 %
TV4299         0.3045 %
TV4312         0.4350 %
TV4517         0.4448 %
TV4789         0.4822 %
TV5084         0.1281 %
TV5124         0.4755 %
TV5177         0.1083 %
TV5241         0.4158 %
TV5259         0.0610 %
TV5280         0.0504 %
TV6301         0.0778 %

TOTAL: 30

*** Locus 6 ***

TV0006         0.6816 %
TV0019         0.2484 %
TV0194         0.1805 %
TV0196         0.0930 %
TV0234         0.0774 %
TV0244         0.2634 %
TV0245         0.6385 %
TV0952         0.5098 %
TV2004         0.1790 %
TV2005         0.2190 %
TV2527         0.0842 %
TV4262         0.0942 %
TV4536         0.1660 %
TV4553         0.2432 %
TV4554         0.2433 %
TV4562         0.0788 %
TV4764         0.8622 %
TV4774         0.4893 %
TV4796         0.3241 %
TV5028         0.2349 %
TV5029         0.2080 %
TV5032         0.0887 %
TV5235         0.6825 %
TV5249         0.2163 %
TV5251         0.0965 %
TV5257         0.3000 %
TV5304         0.1623 %
TV5311         0.1645 %
TV6310         0.5016 %
TV6316         0.4984 %
TV6612         0.4309 %

TOTAL: 31

*** Locus 7 ***

MB0020         0.1695 %
MB0024         0.4638 %
TV0007         0.3176 %
TV0008         0.0807 %
TV0240         0.1840 %
TV4516         0.0980 %
TV4517         0.0515 %
TV4518         0.1693 %
TV5172         0.1096 %
TV5175         0.1066 %
TV5262         0.0522 %
TV5305         0.3167 %
TV5306         0.1565 %
TV6601         0.9240 %

TOTAL: 14

*** Locus 8 ***

51C0054        0.4057 %
51C0060        0.1607 %
51C0116        0.1602 %
MB0102         0.3780 %
MB0106         0.3261 %
TV0003         0.8610 %
TV0019         0.1034 %
TV0208         0.5630 %
TV0959         0.0948 %
TV2299         0.3944 %
TV3010         0.2095 %
TV3017         0.1282 %
TV3244         0.0607 %
TV4284         0.3582 %
TV4316         0.9104 %
TV4524         0.7609 %
TV5249         0.2313 %
TV5251         0.1353 %
TV5280         0.0726 %
TVS0204        0.2640 %
TVS0205        0.2630 %

TOTAL: 21

*** Locus 9 ***

MB0004         0.7009 %
MB0116         0.3352 %
MB0453         0.1027 %
TV0187         0.4047 %
TV0216         0.5331 %
TV0228         0.4041 %
TV0275         0.0858 %
TV0399         0.4070 %
TV0930         0.2632 %
TV0980         0.0826 %
TV1092         0.0938 %
TV1227         0.0825 %
TV1283         0.0852 %
TV1408         0.4235 %
TV2026         0.0530 %
TV2055         0.0518 %
TV2285         0.0537 %
TV3212         0.1766 %
TV3226         0.1075 %
TV4261         0.1203 %
TV4265         0.1910 %
TV4278         0.5010 %
TV4284         0.2961 %
TV4287         0.2364 %
TV4293         0.0637 %
TV4302         0.0706 %
TV4502         0.0627 %
TV4533         0.0588 %
TV4546         0.0618 %
TV4567         0.1418 %
TV4757         0.1289 %
TV4760         0.0850 %
TV4769         0.5366 %
TV4774         0.0972 %
TV4797         0.0621 %
TV4802         0.1650 %
TV5117         0.0690 %
TV5128         0.0706 %
TV5207         0.2631 %
TV5217         0.0864 %
TV5220         0.1378 %
TV5225         0.0521 %
TV5236         0.0716 %
TV5248         0.1021 %
TV5251         0.4493 %
TV5255         0.5124 %
TV6608         0.1525 %
TV6609         0.0866 %
TVS0020        0.0648 %
TVS0050        0.0638 %

TOTAL: 50

*** Locus 10 ***

HS0005         0.0602 %
MB0101         0.3050 %
MB0120         0.3973 %
MB0121         0.3929 %
MR0022         0.0636 %
TV0204         0.3106 %
TV0228         0.0684 %
TV0239         0.6679 %
TV0279         0.0712 %
TV0293         0.0765 %
TV0341         0.0636 %
TV0691         0.2052 %
TV0946         0.2070 %
TV1263         0.0570 %
TV1333         0.1937 %
TV1419         0.1027 %
TV3222         0.2585 %
TV3223         0.2599 %
TV4252         0.0882 %
TV4272         0.0888 %
TV4292         0.1159 %
TV4567         0.0688 %
TV4789         0.1264 %
TV4791         0.2825 %
TV4823         0.6675 %
TV5117         0.1516 %
TV5119         0.1487 %
TV5120         0.1046 %
TV5154         0.2140 %
TV5227         0.0757 %
TV5246         0.2895 %
TV5310         0.2831 %
TV6107         0.1031 %
TVS0020        0.4618 %
TVS0050        0.4638 %

TOTAL: 35

