Software Version            : FRANz 1.2.3
TV0245         0.6848 %
TV0277         0.0562 %
TV0289         0.0503 %
TV1263         0.0840 %
TV2033         0.1044 %
TV2501         0.0914 %
TV3011         0.1460 %
TV3031         0.0863 %
TV3041         0.0699 %
TV3202         0.2674 %
TV3209         0.1668 %
TV3218         0.0749 %
TV3231         0.1040 %
TV4004         0.0557 %
TV4261         0.0527 %
TV4287         0.1078 %
TV4291         0.0627 %
TV4299         0.4473 %
TV4312         0.4731 %
TV4517         0.4294 %
TV4545         0.5299 %
TV4547         0.4195 %
TV4789         0.5455 %
TV5002         0.0571 %
TV5023         0.0517 %
TV5084         0.1870 %
TV5124         0.5210 %
TV5177         0.1821 %
TV5241         0.4404 %
TV5259         0.0852 %
TV5280         0.0706 %
TV6039         0.0602 %
TV6301         0.1108 %
TVS0005        0.0744 %
TVS0213        0.0726 %

TOTAL: 44

*** Locus 6 ***

TV0006         0.7385 %
TV0019         0.2920 %
TV0194         0.2604 %
TV0196         0.1437 %
TV0204         0.0526 %
TV0234         0.1422 %
TV0244         0.2948 %
TV0245         0.6722 %
TV0952         0.6804 %
TV2004         0.2136 %
TV2005         0.3118 %
TV2527         0.1934 %
TV4261         0.0566 %
TV4262         0.0941 %
TV4315         0.0625 %
TV4536         0.2226 %
TV4553         0.3116 %
TV4554         0.3166 %
TV4562         0.1305 %
TV4764         0.8520 %
TV4774         0.6017 %
TV4796         0.2026 %
TV4822         0.0503 %
TV5028         0.3431 %
TV5029         0.2734 %
TV5032         0.1674 %
TV5188         0.0726 %
TV5235         0.6974 %
TV5249         0.3096 %
TV5251         0.1417 %
TV5257         0.2954 %
TV5304         0.2373 %
TV5311         0.1872 %
TV6310         0.5119 %
TV6316         0.4881 %
TV6612         0.5406 %

TOTAL: 36

*** Locus 7 ***

MB0020         0.8481 %
MB0024         0.1011 %
TV0007         0.3948 %
TV0240         0.3043 %
TV0287         0.0561 %
TV1186         0.0599 %
TV3215         0.0761 %
TV3216         0.0711 %
TV4516         0.1635 %
TV4517         0.0945 %
TV4518         0.2779 %
TV4532         0.0612 %
TV5172         0.1916 %
TV5175         0.0931 %
TV5246         0.0562 %
TV5257         0.0617 %
TV5262         0.0979 %
TV5305         0.3654 %
TV5306         0.3274 %
TV6300         0.0678 %
TV6601         0.9410 %

TOTAL: 21

*** Locus 8 ***

51C0054        0.4520 %
51C0060        0.2225 %
51C0116        0.2289 %
MB0020         0.8077 %
MB0102         0.4350 %
MB0106         0.3672 %
TV0003         0.8830 %
TV0004         0.0819 %
TV0019         0.0985 %
TV0208         0.7019 %
TV0327         0.0908 %
TV0886         0.0574 %
TV0898         0.0570 %
TV0959         0.1333 %
TV1296         0.0811 %
TV1333         0.0595 %
TV1341         0.0843 %
TV2299         0.4337 %
TV3010         0.2545 %
TV3017         0.1376 %
TV3037         0.4515 %
TV3040A        0.2959 %
TV3244         0.1104 %
TV4261         0.0558 %
TV4267         0.1045 %
TV4284         0.4589 %
TV4316         0.9478 %
TV4524         0.9040 %
TV4774         0.0688 %
TV5249         0.3280 %
TV5251         0.1950 %
TV5274         0.0648 %
TV5280         0.1125 %
TV6612         0.0541 %
TV6720         0.0548 %
TV6905         0.0574 %
TVS0204        0.3310 %
TVS0205        0.3378 %

TOTAL: 38

*** Locus 9 ***

MB0004         0.9103 %
MB0020         0.8077 %
MB0112         0.0577 %
MB0116         0.2397 %
MB0453         0.1559 %
TV0187         0.4167 %
TV0216         0.5669 %
TV0228         0.3968 %
TV0275         0.1349 %
TV0399         0.5035 %
TV0930         0.3189 %
TV0980         0.1230 %
TV1092         0.1414 %
TV1183         0.0508 %
TV1227         0.1290 %
TV1283         0.1375 %
TV1408         0.4818 %
TV2013         0.0873 %
TV2026         0.0902 %
TV2053         0.0608 %
TV2055         0.0967 %
TV2062         0.0580 %
TV2285         0.1201 %
TV2810         0.0756 %
TV3011         0.0722 %
TV3212         0.2663 %
TV3226         0.1708 %
TV3231         0.0540 %
TV4261         0.2892 %
TV4265         0.3537 %
TV4278         0.6249 %
TV4284         0.3153 %
TV4287         0.3262 %
TV4295         1.0000 %
TV4302         0.1182 %
TV4502         0.0941 %
TV4506         0.0660 %
TV4533         0.0595 %
TV4546         0.0529 %
TV4567         0.2313 %
TV4757         0.1884 %
TV4760         0.1238 %
TV4769         0.6194 %
TV4774         0.1456 %
TV4797         0.1007 %
TV4802         0.1766 %
TV4819         0.0547 %
TV5117         0.1065 %
TV5128         0.1060 %
TV5207         0.3286 %
TV5217         0.1234 %
TV5220         0.2082 %
TV5236         0.1077 %
TV5248         0.1630 %
TV5251         0.4253 %
TV5255         0.5546 %
TV6608         0.1718 %
TV6609         0.1032 %
TVS0020        0.1220 %
TVS0050        0.1042 %

TOTAL: 60

*** Locus 10 ***

HS0005         0.0882 %
MB0101         0.3894 %
MB0120         0.4260 %
MB0121         0.4396 %
MR0022         0.0926 %
TV0204         0.3366 %
TV0228         0.0918 %
TV0239         0.6579 %
TV0279         0.0980 %
TV0293         0.0956 %
TV0341         0.0957 %
TV0343         0.0621 %
TV0691         0.2946 %
TV0946         0.2681 %
TV1263         0.1058 %
TV1333         0.2776 %
TV1419         0.1511 %
TV2265         0.9226 %
TV2266         1.0000 %
TV3222         0.3280 %
TV3223         0.3471 %
TV4251         0.0730 %
TV4252         0.1303 %
TV4272         0.0599 %
TV4292         0.1568 %
TV4567         0.1442 %
TV4789         0.1912 %
TV4791         0.3409 %
TV4819         0.0547 %
TV4823         0.8153 %
TV5117         0.2211 %
TV5119         0.2022 %
TV5120         0.2268 %
TV5154         0.2833 %
TV5227         0.1220 %
TV5246         0.3351 %
TV5251         0.0584 %
TV5310         0.3508 %
TV6107         0.1517 %
TVS0020        0.4889 %
TVS0050        0.4891 %

TOTAL: 41

